chr	internal_start	internal_end	Symbol	score	strand	Type
chr3	55532615	56088622	Nbea	0	-	Weak_Target
chr16	81000084	81423716	Ncam2	0	+	Weak_Target
chr1	43487410	43609675	Nck2	0	+	Weak_Target
chr1	125841373	126755869	Nckap5	0	-	Weak_Target
chr9	58781969	58941224	Neo1	0	-	Weak_Target
chr11	79233150	79472438	Nf1	0	+	Weak_Target
chr1	132497781	132632644	Nfasc	0	-	Weak_Target
chr15	8320100	8471447	Nipbl	0	-	Weak_Target
chr3	25480378	26384109	Nlgn1	0	-	Weak_Target
chr11	78457993	78585699	Nlk	0	-	Weak_Target
chr1	152833248	152995007	Nmnat2	0	+	Weak_Target
chr2	153249381	153369391	Nol4l	0	-	Weak_Target
chr1	170145027	170414930	Nos1ap	0	-	Weak_Target
chr3	97923353	98057677	Notch2	0	+	Weak_Target
chr12	44378265	44645624	Nrcam	0	+	Weak_Target
chr8	129088264	129229844	Nrp1	0	+	Weak_Target
chr17	90344096	91393654	Nrxn1	0	-	Weak_Target
chr8	26094799	26209694	Nsd3	0	+	Weak_Target
chr11	68100189	68289149	Ntn1	0	-	Weak_Target
chr13	58958010	59281784	Ntrk2	0	+	Weak_Target
chr11	76148023	76287466	Nxn	0	-	Weak_Target
chr2	72923144	73042291	Ola1	0	-	Weak_Target
chrX	97597882	97932091	Ophn1	0	-	Weak_Target
chr10	111003112	111133110	Osbpl8	0	+	Weak_Target
chr15	4058364	4184826	Oxct1	0	+	Weak_Target
chr19	5183185	5320647	Pacs1	0	-	Weak_Target
chr4	57436746	57712016	Pakap	0	+	Weak_Target
chr4	57640322	57894718	Pakap	0	+	Weak_Target
chr4	57744594	57896982	Pakap	0	+	Weak_Target
chr8	61964466	62353203	Palld	0	-	Weak_Target
chr1	97748818	98020846	Pam	0	-	Weak_Target
chr8	127793305	128338767	Pard3	0	+	Weak_Target
chr10	76597690	76795122	Pcbp3	0	-	Weak_Target
chr12	81909303	82047698	Pcnx	0	+	Weak_Target
chr17	8748132	9201328	Pde10a	0	+	Weak_Target
chr7	114017015	114138486	Pde3b	0	+	Weak_Target
chr4	101947239	102463030	Pde4b	0	+	Weak_Target
chr13	109255674	110087921	Pde4d	0	+	Weak_Target
chr5	150599791	150734132	Pds5b	0	+	Weak_Target
chr6	101126569	101352358	Pdzrn3	0	-	Weak_Target
chr14	48360779	48498345	Peli2	0	+	Weak_Target
chr4	149044991	149181833	Pex14	0	-	Weak_Target
chr2	177819641	177978284	Phactr3	0	+	Weak_Target
chr6	11928414	12081204	Phf14	0	+	Weak_Target
chr2	92054406	92195011	Phf21a	0	+	Weak_Target
chr1	106101981	106321980	Phlpp1	0	+	Weak_Target
chr2	18847065	19000437	Pip4k2a	0	-	Weak_Target
chr9	36802277	37056203	Pknox2	0	-	Weak_Target
chr2	58993693	59185549	Pkp4	0	+	Weak_Target
chr2	134630578	135317178	Plcb1	0	+	Weak_Target
chr1	55447579	55793444	Plcl1	0	+	Weak_Target
chr7	115722727	115905111	Plekha7	0	-	Weak_Target
chr4	49061781	49340259	Plppr1	0	+	Weak_Target
chr2	16363614	16760650	Plxdc2	0	+	Weak_Target
chr1	194304632	194499177	Plxna2	0	+	Weak_Target
chr1	165692722	165827747	Pou2f1	0	-	Weak_Target
chr11	87117731	87247349	Ppm1e	0	-	Weak_Target
chr3	69226693	69468135	Ppm1l	0	+	Weak_Target
chr10	108000553	108113212	Ppp1r12a	0	+	Weak_Target
chr1	134687706	134881089	Ppp1r12b	0	-	Weak_Target
chr12	75497654	75640474	Ppp2r5e	0	-	Weak_Target
chr19	3504932	3623249	Ppp6r3	0	-	Weak_Target
chr2	166408261	166553252	Prex1	0	-	Weak_Target
chr6	92347888	92680636	Prickle2	0	-	Weak_Target
chr1	33492890	33706376	Prim2	0	-	Weak_Target
chr5	139003060	139113014	Prkar1b	0	-	Weak_Target
chr12	32008474	32108795	Prkar2b	0	-	Weak_Target
chr11	107824212	108232254	Prkca	0	-	Weak_Target
chr7	121891019	122227878	Prkcb	0	+	Weak_Target
chr1	119580196	119762843	Ptpn4	0	-	Weak_Target
chr4	75859474	76365717	Ptprd	0	-	Weak_Target
chr6	137231962	137440225	Ptpro	0	+	Weak_Target
chr4	130393131	130508875	Pum1	0	+	Weak_Target
chr17	10421529	10535809	Qki	0	-	Weak_Target
chr11	79484537	79588849	Rab11fip4	0	+	Weak_Target
chr17	65958723	66077247	Rab31	0	-	Weak_Target
chr13	110190720	110414184	Rab3c	0	-	Weak_Target
chr1	160084774	160618016	Rabgap1l	0	-	Weak_Target
chr2	33026984	33258990	Ralgps1	0	-	Weak_Target
chr1	156635279	156764457	Ralgps2	0	-	Weak_Target
chr2	29512231	29630365	Rapgef1	0	+	Weak_Target
chr3	78969837	79191324	Rapgef2	0	-	Weak_Target
chr8	13616947	13725103	Rasa3	0	-	Weak_Target
chr1	156962751	157237665	Rasal2	0	-	Weak_Target
chr14	73432941	73560762	Rb1	0	-	Weak_Target
chr15	76963189	77188628	Rbfox2	0	-	Weak_Target
chr11	118381980	118797898	Rbfox3	0	-	Weak_Target
chr2	60582296	60709282	Rbms1	0	-	Weak_Target
chr17	44117393	44350403	Rcan2	0	+	Weak_Target
chr6	71687353	71787230	Reep1	0	+	Weak_Target
chr15	25845765	25973773	Retreg1	0	+	Weak_Target
chr19	27739120	27957848	Rfx3	0	-	Weak_Target
chr1	4979798	5138008	Rgs20	0	-	Weak_Target
chr15	39064257	39545160	Rims2	0	+	Weak_Target
chr12	26356792	26462753	Rnf144a	0	-	Weak_Target
chr5	142977574	143096235	Rnf216	0	-	Weak_Target
chr10	31369188	31482680	Rnf217	0	-	Weak_Target
chr4	117128659	117351749	Rnf220	0	-	Weak_Target
chr4	33312810	33502614	Rngtt	0	+	Weak_Target
chr11	119496474	119790233	Rptor	0	+	Weak_Target
chr7	97231603	97341985	Rsf1	0	+	Weak_Target
chr12	72258525	72453328	Rtn1	0	-	Weak_Target
chr14	47122810	47340607	Samd4	0	+	Weak_Target
chr7	109907228	110211627	Sbf2	0	-	Weak_Target
chr2	38956225	39078246	Scai	0	-	Weak_Target
chr15	32247458	32696487	Sema5a	0	+	Weak_Target
chr16	35364231	35484631	Sema5b	0	+	Weak_Target
chr18	47380506	47499015	Sema6a	0	-	Weak_Target
chr11	117092986	117253151	Septin9	0	+	Weak_Target
chr7	46092577	46286731	Sergef	0	-	Weak_Target
chr13	92750098	92848455	Serinc5	0	+	Weak_Target
chr11	20495833	20603021	Sertad2	0	+	Weak_Target
chr5	112567019	112722341	Sez6l	0	-	Weak_Target
chr14	30440071	30544678	Sfmbt1	0	+	Weak_Target
chr4	102620221	102830825	Sgip1	0	+	Weak_Target
chr4	85125862	85317766	Sh3gl2	0	+	Weak_Target
chrX	158413036	158756165	Sh3kbp1	0	+	Weak_Target
chr8	61679405	61849105	Sh3rf1	0	+	Weak_Target
chr10	58651779	58974738	Sh3rf3	0	+	Weak_Target
chr4	45423277	45527830	Shb	0	-	Weak_Target
chr5	92833793	93113173	Shroom3	0	+	Weak_Target
chr9	45926617	46135492	Sik3	0	+	Weak_Target
chr18	35399448	35629482	Sil1	0	-	Weak_Target
chr2	102491503	102621129	Slc1a2	0	+	Weak_Target
chr13	34363140	34526665	Slc22a23	0	-	Weak_Target
chr6	94479811	94581653	Slc25a26	0	+	Weak_Target
chr15	91151898	91454964	Slc2a13	0	-	Weak_Target
chr11	113135678	113454094	Slc39a11	0	-	Weak_Target
chr4	53443183	53563450	Slc44a1	0	+	Weak_Target
chr3	153755059	153975033	Slc44a5	0	+	Weak_Target
chr17	81695952	82043306	Slc8a1	0	-	Weak_Target
chr7	73931605	74201862	Slco3a1	0	-	Weak_Target
chr1	12936775	13058859	Slco5a1	0	-	Weak_Target
chr19	41588697	41729604	Slit1	0	-	Weak_Target
chr5	48142995	48462853	Slit2	0	+	Weak_Target
chr9	63554048	63662776	Smad3	0	-	Weak_Target
chr7	117730530	117840360	Smg1	0	-	Weak_Target
chr11	74819148	75055274	Smg6	0	+	Weak_Target
chr12	81076081	81233188	Smoc1	0	+	Weak_Target
chr9	86647988	86760002	Snap91	0	-	Weak_Target
chr18	52903281	53049002	Sncaip	0	+	Weak_Target
chr6	28482846	28888831	Snd1	0	+	Weak_Target
chr18	53381233	53523992	Snx24	0	+	Weak_Target
chr10	42878495	43048026	Sobp	0	-	Weak_Target
chr8	45963454	46280630	Sorbs2	0	+	Weak_Target
chr6	143774150	144152706	Sox5	0	-	Weak_Target
chr7	115075905	115591821	Sox6	0	-	Weak_Target
chr1	57816519	57987553	Spats2l	0	+	Weak_Target
chr11	30049394	30215669	Sptbn1	0	-	Weak_Target
chr17	86292092	86450103	Srbd1	0	-	Weak_Target
chr10	121616895	121880720	Srgap1	0	-	Weak_Target
chr1	131212988	131452585	Srgap2	0	-	Weak_Target
chr13	91611668	91851548	Ssbp2	0	+	Weak_Target
chr4	106771166	106906891	Ssbp3	0	+	Weak_Target
chr11	77241607	77346347	Ssh2	0	+	Weak_Target
chr4	117789350	117989587	St3gal3	0	-	Weak_Target
chr16	23045989	23179098	St6gal1	0	+	Weak_Target
chr3	152522717	152685383	St6galnac5	0	-	Weak_Target
chr6	142767270	142907678	St8sia1	0	-	Weak_Target
chrX	41240693	41366062	Stag2	0	+	Weak_Target
chr1	16298897	16587030	Stau2	0	-	Weak_Target
chr5	37604168	37872015	Stk32b	0	-	Weak_Target
chr2	68040788	68300112	Stk39	0	-	Weak_Target
chr8	47633082	47864372	Stox2	0	-	Weak_Target
chr11	67859518	68097974	Stx8	0	+	Weak_Target
chr12	44899266	45118992	Stxbp6	0	-	Weak_Target
chr1	12765000	12931416	Sulf1	0	+	Weak_Target
chr1	182594959	182724156	Susd4	0	+	Weak_Target
chr6	115114377	115258967	Syn2	0	+	Weak_Target
chr12	75867591	76157674	Syne2	0	+	Weak_Target
chr10	108333510	108844336	Syt1	0	-	Weak_Target
chr1	192573540	192715583	Syt14	0	-	Weak_Target
chr12	74211490	74314696	Syt16	0	+	Weak_Target
chr2	9919362	10050907	Taf3	0	-	Weak_Target
chr2	59444887	59676493	Tanc1	0	+	Weak_Target
chr11	105483316	105820130	Tanc2	0	+	Weak_Target
chr5	117260693	117413282	Taok3	0	+	Weak_Target
chr8	83894988	83999563	Tbc1d9	0	+	Weak_Target
chr11	121345274	121507990	Tbcd	0	+	Weak_Target
chrX	76557118	76706589	Tbl1x	0	+	Weak_Target
chr3	22133315	22270758	Tbl1xr1	0	+	Weak_Target
chr9	71749969	72016629	Tcf12	0	-	Weak_Target
chr15	82692826	82793808	Tcf20	0	-	Weak_Target
chr6	72604254	72763435	Tcf7l1	0	-	Weak_Target
chr7	112281026	112506014	Tead1	0	+	Weak_Target
chr11	35898861	36832493	Tenm2	0	-	Weak_Target
chr7	95863377	96557761	Tenm4	0	+	Weak_Target
chr19	14425513	14572915	Tle4	0	-	Weak_Target
chr2	70542750	70653572	Tlk1	0	-	Weak_Target
chr9	67128190	67444397	Tln2	0	-	Weak_Target
chr1	50969177	51226429	Tmeff2	0	+	Weak_Target
chr3	83804961	83944982	Tmem131l	0	-	Weak_Target
chr5	125611950	125869647	Tmem132b	0	+	Weak_Target
chr5	127321371	127642857	Tmem132c	0	+	Weak_Target
chr1	127418634	127604785	Tmem163	0	-	Weak_Target
chrX	141467221	141621234	Tmem164	0	+	Weak_Target
chr10	105023523	105407796	Tmtc2	0	-	Weak_Target
chr3	28320211	28722372	Tnik	0	+	Weak_Target
chr15	80598013	80825286	Tnrc6b	0	+	Weak_Target
chr11	60117540	60241231	Tom1l2	0	-	Weak_Target
chr4	6686352	6988299	Tox	0	-	Weak_Target
chr8	90973667	91072471	Tox3	0	-	Weak_Target
chr12	111135396	111233582	Traf3	0	+	Weak_Target
chr17	47454367	47672883	Trerf1	0	+	Weak_Target
chr2	102130463	102228745	Trim44	0	-	Weak_Target
chr15	50521824	50749945	Trps1	0	-	Weak_Target
chr2	93032104	93162332	Tspan18	0	-	Weak_Target
chr5	111030168	111437645	Ttc28	0	+	Weak_Target
chr3	146560621	146689764	Ttll7	0	+	Weak_Target
chr8	39475498	39619367	Tusc3	0	+	Weak_Target
chr14	122118531	122258446	Ubac2	0	+	Weak_Target
chr9	40922393	41066858	Ubash3b	0	-	Weak_Target
chr14	3578419	3896119	Ube2e2	0	+	Weak_Target
chr15	37968536	38076169	Ubr5	0	-	Weak_Target
chr6	8261927	8427279	Umad1	0	+	Weak_Target
chr4	43061468	43264871	Unc13b	0	+	Weak_Target
chr7	98534227	98787848	Uvrag	0	-	Weak_Target
chr2	27152115	27314545	Vav2	0	-	Weak_Target
chr19	55307281	55615741	Vti1a	0	+	Weak_Target
chr14	63077626	63198958	Wdfy2	0	+	Weak_Target
chr12	108862742	108994378	Wdr25	0	+	Weak_Target
chr18	31939650	32040450	Wdr33	0	+	Weak_Target
chr13	49192349	49298990	Wnk2	0	-	Weak_Target
chr11	35729226	35868854	Wwc1	0	-	Weak_Target
chr8	48276993	48441086	Wwc2	0	-	Weak_Target
chr8	115168894	116079447	Wwox	0	+	Weak_Target
chr14	70891685	71001568	Xpo7	0	-	Weak_Target
chr7	116982713	117272803	Xylt1	0	+	Weak_Target
chr4	44759067	44932203	Zcchc7	0	+	Weak_Target
chr17	30226206	30428996	Zfand3	0	+	Weak_Target
chr16	33203705	33324733	Zfp148	0	+	Weak_Target
chr18	84225825	84605129	Zfp407	0	-	Weak_Target
chr8	88388437	88683723	Zfp423	0	-	Weak_Target
chr4	54950475	55083563	Zfp462	0	+	Weak_Target
chr18	13820069	14103344	Zfp521	0	-	Weak_Target
chr18	65715482	65822514	Zfp532	0	+	Weak_Target
chr7	37178533	37466887	Zfp536	0	-	Weak_Target
chr18	55021119	55120738	Zfp608	0	-	Weak_Target
chr9	65599672	65732346	Zfp609	0	-	Weak_Target
chr4	62886309	63057945	Zfp618	0	+	Weak_Target
chr3	9492079	9672645	Zfp704	0	-	Weak_Target
chr8	79757715	79917485	Zfp827	0	+	Weak_Target
chr15	40520930	40967988	Zfpm2	0	+	Weak_Target
chr15	57560560	57703228	Zhx2	0	+	Weak_Target
chr4	116737072	116846461	Zswim5	0	+	Weak_Target
